quest_id	client_rows	last_row_kind	last_row_text	reward_var0	last_start_node	last_start_var0	handover_writes	recovery	qe045_locked	verdict	row_state_verdict	client_section0	mirror_id	mirror_shape	mirror_reward_var0	mirror_last_row_text
1005	10	DIALOG	和[%dic:STR_DIC_LA139]对话	8	None	None		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
1114	6	OTHER	接受[%dic:STR_DIC_LA10]的奖赏	None	None	None		False	False	NO_REWARD_ROW	ROW_WITHOUT_STATE					
1149	3	DIALOG	和[%dic:STR_DIC_LA159]对话	1	started	0		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
1157	2	OTHER	要[%dic:STR_DIC_LA45]履行承诺，说出取下印章的方法。	0	started	0		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
1170	2	OTHER	将找到的石像头放回石像顶部。	0	started	0		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
1466	2	DIALOG	向[%dic:STR_DIC_N_Valerius]报告	None	started	0	var0=2	False	False	NO_REWARD_ROW	ROW_WITHOUT_STATE					
1479	3	DIALOG	和[%dic:STR_DIC_N_Memnes]对话	1	started	0		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
1722	9	DIALOG	把[%dic:STR_DIC_I_QUEST_1722a]交给[%dic:STR_DIC_N_Rastin]	7	s7	7		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
1876	3	DIALOG	向[%dic:STR_DIC_N_Taranis]报告	1	s1	1		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
1920	3	DIALOG	和[%dic:STR_DIC_N_Jucleas]对话	1	started1	1		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
2006	3	DIALOG	和[%dic:STR_DIC_LA494]%对话。	1	started	0		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
2007	10	DIALOG	和[%dic:STR_DIC_LA494]对话	8	started	0		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
2303	4	DIALOG	和[%dic:STR_DIC_N_Fathir]%对话	None	started	0		False	False	NO_REWARD_ROW	ROW_WITHOUT_STATE					
2600	3	DIALOG	重新和[%dic:STR_DIC_N_Shugo_DF3_12]对话	0	s1	1		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
2633	4	DIALOG	向德拉乌伯尼尔洞穴入口附近的[%dic:STR_DIC_N_DF3_Alberihi_E]报告	2	s2	2		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
2722	9	DIALOG	把伊拉西克特产酒交给[%dic:STR_DIC_N_Bord]	7	started7	7		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
2876	3	DIALOG	向[%dic:STR_DIC_N_Votan]报告	1	s1	1		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
2925	7	OTHER	安慰[%dic:STR_DIC_N_Daskair]	5	None	None		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
2945	3	DIALOG	和[%dic:STR_DIC_N_Balder]对话	1	started1	1		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
3722	2	DIALOG	向[%dic:STR_DIC_N_Yannis]报告结果	0	started	0		True	True	ROW_BEHIND	ROW_WITHOUT_STATE					
3732	3	DIALOG	向[%dic:STR_DIC_N_LF2_Brando]报告	1	started	0		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
3933	8	DIALOG	向[%dic:STR_DIC_LA80]报告	6	s6	6	var0=6	False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
3934	10	DIALOG	向[%dic:STR_DIC_LA80]报告	8	s8	8	var0=8	False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
3935	6	DIALOG	和[%dic:STR_DIC_N_Lavirintos]对话	4	s4	4	var0=4	False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
3939	5	DIALOG	和[%dic:STR_DIC_N_Lavirintos]对话	3	s3	3	var0=3	False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
4200	5	OTHER	向使节团团长[%dic:STR_DIC_N_DF3_Fairringring_E]转告哈奥隆的消息	3	s3	3		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
4722	2	DIALOG	向[%dic:STR_DIC_N_Yorgen]%报告结果	0	started	0		True	True	ROW_BEHIND	ROW_WITHOUT_STATE					
10100	6	DIALOG	重新和[%dic:STR_DIC_N_LDF4_Advance_L_Kahrun]%对话	4	s4	4		False	False	ROW_BEHIND	ROW_WITHOUT_STATE		20100	MISSING_LAST_ROW	4	重新和[%dic:STR_DIC_N_LDF4_Advance_D_Kahrun]%对话
10530	11	DIALOG	再次和[%dic:STR_DIC_N_Jucleas]%对话	9	s8	8		True	False	ROW_BEHIND	ROW_WITHOUT_STATE		20530	ALIGNED	9	再次和[%dic:STR_DIC_N_Balder]%对话
11010	4	DIALOG	和[%dic:STR_DIC_N_Naiting]对话	0	stage2	2		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
11040	3	OTHER	护送成功！回到[%dic:STR_DIC_N_Tuca_01]那里	1	started	0		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
11147	6	DIALOG	和[%dic:STR_DIC_N_Rollia]对话	4	s4	4		False	False	ROW_BEHIND	ROW_WITHOUT_STATE					
