quest_id	status	client_rows	client_row0	client_row1	client_row2	client_row3	handoff_npc	reward_row_before	legacy_persisted	reward_row_after	completion_owner	row_slots	evidence	audit_before	audit_after	client_acceptance
50020	ROW_LADDER_REBUILD	3	从[%dic:STR_DIC_M_ValentineEvent_Shulack_Couple](219316)身上抢夺巧克力，然后交给单身部队术古(202549)[collectitem]	在[%dic:STR_DIC_N_event_Light_Chocolate](701466)上使用巧克力炸弹	和单身部队术古(202549)对话		202549 交付 -> 701466 装饰 -> 202549 领奖	0	0（npc-item-report 交付直送 REWARD）	2	202549	0/1/2	客户端 quest_q50020.html quest_summary 三行、槽位 0/3/6；页链 select1(1011) CHECK_USER_HAS_QUEST_ITEM -> check_user_item_ok(10000) SETPRO2（s1 就地 close-dialog）-> 塔 USE_OBJECT(1->2) -> 领奖行 QUEST_SELECT 显示 DEFAULT_SUCCESS(10002) SELECT_QUEST_REWARD -> 奖励窗 1009；旧定义 npc-item-report/交付直跳 REWARD(0)，塔物件从未接进 IR；本批交付改显式 CHECK_HAS_ITEM(has-item+remove-item)、塔物件接 USE_OBJECT、owner 收敛末行 NPC、删交付直达 reward 与 npc-item-report；quest_data.xml quest_drop npc_id=219316 item_id=182215173（塔族掉落来自活动怪）；塔物件 701466、NPC 202549	MISSING_TAIL_ROWS | ROW_BEHIND | ROW_WITHOUT_STATE(1 2) | visible=0	ALIGNED | ROW_ALIGNED | ROW_STATE_ALIGNED | visible=0 1 2 | recovery=True	PENDING_CLIENT
80300	ROW_LADDER_REBUILD	3	消灭[%dic:STR_DIC_M_ValentineEvent_Brownie_Solo](219639)，获得巧克力后，交给坠入爱河的术古(799763)[collectitem]	在爱情巧克力塔(831402)上使用巧克力装饰	和坠入爱河的术古(799763)对话		799763 交付 -> 831402 装饰 -> 799763 领奖	0	0（npc-item-report 交付直送 REWARD）	2	799763	0/1/2	客户端 quest_q80300.html quest_summary 三行、槽位 0/3/6；页链 select1(1011) CHECK_USER_HAS_QUEST_ITEM -> check_user_item_ok(10000) SETPRO2（s1 就地 close-dialog）-> 塔 USE_OBJECT(1->2) -> 领奖行 QUEST_SELECT 显示 DEFAULT_SUCCESS(10002) SELECT_QUEST_REWARD -> 奖励窗 1009；旧定义 npc-item-report/交付直跳 REWARD(0)，塔物件从未接进 IR；本批交付改显式 CHECK_HAS_ITEM(has-item+remove-item)、塔物件接 USE_OBJECT、owner 收敛末行 NPC、删交付直达 reward 与 npc-item-report；quest_data.xml quest_drop npc_id=219639 item_id=182215288（塔族掉落来自活动怪）；塔物件 831402、NPC 799763	MISSING_TAIL_ROWS | ROW_BEHIND | ROW_WITHOUT_STATE(1 2) | visible=0	ALIGNED | ROW_ALIGNED | ROW_STATE_ALIGNED | visible=0 1 2 | recovery=True	PENDING_CLIENT
80301	ROW_LADDER_REBUILD	3	从[%dic:STR_DIC_M_ValentineEvent_Shulack_Couple](219640)那里抢回巧克力，交给单身部队成员(799763)[collectitem]	对爱情巧克力塔(831402)使用巧克力炸弹	和单身部队成员(799763)对话		799763 交付 -> 831402 装饰 -> 799763 领奖	0	0（npc-item-report 交付直送 REWARD）	2	799763	0/1/2	客户端 quest_q80301.html quest_summary 三行、槽位 0/3/6；页链 select1(1011) CHECK_USER_HAS_QUEST_ITEM -> check_user_item_ok(10000) SETPRO2（s1 就地 close-dialog）-> 塔 USE_OBJECT(1->2) -> 领奖行 QUEST_SELECT 显示 DEFAULT_SUCCESS(10002) SELECT_QUEST_REWARD -> 奖励窗 1009；旧定义 npc-item-report/交付直跳 REWARD(0)，塔物件从未接进 IR；本批交付改显式 CHECK_HAS_ITEM(has-item+remove-item)、塔物件接 USE_OBJECT、owner 收敛末行 NPC、删交付直达 reward 与 npc-item-report；quest_data.xml quest_drop npc_id=219640 item_id=182215289（塔族掉落来自活动怪）；塔物件 831402、NPC 799763	MISSING_TAIL_ROWS | ROW_BEHIND | ROW_WITHOUT_STATE(1 2) | visible=0	ALIGNED | ROW_ALIGNED | ROW_STATE_ALIGNED | visible=0 1 2 | recovery=True	PENDING_CLIENT
80306	ROW_LADDER_REBUILD	3	消灭[%dic:STR_DIC_M_ValentineEvent_Brownie_Solo](219639)，获得巧克力后，交给坠入爱河的术古(799763)[collectitem]	在爱情巧克力塔(831403)上使用巧克力装饰	和坠入爱河的术古(799763)对话		799763 交付 -> 831403 装饰 -> 799763 领奖	0	0（npc-item-report 交付直送 REWARD）	2	799763	0/1/2	客户端 quest_q80306.html quest_summary 三行、槽位 0/3/6；页链 select1(1011) CHECK_USER_HAS_QUEST_ITEM -> check_user_item_ok(10000) SETPRO2（s1 就地 close-dialog）-> 塔 USE_OBJECT(1->2) -> 领奖行 QUEST_SELECT 显示 DEFAULT_SUCCESS(10002) SELECT_QUEST_REWARD -> 奖励窗 1009；旧定义 npc-item-report/交付直跳 REWARD(0)，塔物件从未接进 IR；本批交付改显式 CHECK_HAS_ITEM(has-item+remove-item)、塔物件接 USE_OBJECT、owner 收敛末行 NPC、删交付直达 reward 与 npc-item-report；quest_data.xml quest_drop npc_id=219639 item_id=182215294（塔族掉落来自活动怪）；塔物件 831403、NPC 799763	MISSING_TAIL_ROWS | ROW_BEHIND | ROW_WITHOUT_STATE(1 2) | visible=0	ALIGNED | ROW_ALIGNED | ROW_STATE_ALIGNED | visible=0 1 2 | recovery=True	PENDING_CLIENT
80307	ROW_LADDER_REBUILD	3	从[%dic:STR_DIC_M_ValentineEvent_Shulack_Couple](219640)那里抢回巧克力，交给单身部队成员(799763)[collectitem]	对爱情巧克力塔(831403)使用巧克力炸弹	和单身部队成员(799763)对话		799763 交付 -> 831403 装饰 -> 799763 领奖	0	0（npc-item-report 交付直送 REWARD）	2	799763	0/1/2	客户端 quest_q80307.html quest_summary 三行、槽位 0/3/6；页链 select1(1011) CHECK_USER_HAS_QUEST_ITEM -> check_user_item_ok(10000) SETPRO2（s1 就地 close-dialog）-> 塔 USE_OBJECT(1->2) -> 领奖行 QUEST_SELECT 显示 DEFAULT_SUCCESS(10002) SELECT_QUEST_REWARD -> 奖励窗 1009；旧定义 npc-item-report/交付直跳 REWARD(0)，塔物件从未接进 IR；本批交付改显式 CHECK_HAS_ITEM(has-item+remove-item)、塔物件接 USE_OBJECT、owner 收敛末行 NPC、删交付直达 reward 与 npc-item-report；quest_data.xml quest_drop npc_id=219640 item_id=182215295（塔族掉落来自活动怪）；塔物件 831403、NPC 799763	MISSING_TAIL_ROWS | ROW_BEHIND | ROW_WITHOUT_STATE(1 2) | visible=0	ALIGNED | ROW_ALIGNED | ROW_STATE_ALIGNED | visible=0 1 2 | recovery=True	PENDING_CLIENT
50021	ROW_LADDER_REBUILD	3	消灭[%dic:STR_DIC_M_ValentineEvent_Brownie_Solo]([%2]/3)	和[%dic:STR_DIC_E_white_couple](202549)对话	在[%dic:STR_DIC_E_FOBJ_Event_Cargobox](701470)中寻找糖果，然后交给[%dic:STR_DIC_E_white_couple](202549)[collectitem]		202549 对话 -> 701470 货箱取物 -> 202549 领奖	15	15（a3 交付后写入 reward 节点 15）	2	202549	0/1/2	客户端 quest_q50021.html quest_summary 三行、槽位 0/3/6；页链 select4(2034) SETPRO2(0->1) -> s1 QUEST_SELECT/SETPRO2(1->2) -> select5(2375) CHECK_USER_HAS_QUEST_ITEM（成功 DEFAULT_SUCCESS(10002)，失败 CHECK_USER_ITEM_FAIL(10001)）；货箱 can-act ACTION_ITEM_USE 落 START/s1(var0=1)，quest_data 的 retail collecting_step=4 收敛为 1（第二组 3 bit 槽位 3..5 即行 1）；本批删旧击杀计数直跳/npc-item-report 与交付直达 reward，owner 收敛末行 NPC；quest_data.xml quest_drop npc_id=701470 item_id=182215176 collecting_step=4（货箱掉落）；货箱物件 701470、NPC 202549	STATES_BEYOND_ROWS | ROW_AHEAD | visible=0 1 2 3 15	ALIGNED | ROW_ALIGNED | ROW_STATE_ALIGNED | visible=0 1 2 | recovery=True	PENDING_CLIENT
51021	ROW_LADDER_REBUILD	3	消灭[%dic:STR_DIC_M_ValentineEvent_Brownie_Solo]([%2]/3)	和[%dic:STR_DIC_E_white_couple_d](202549)对话	在[%dic:STR_DIC_E_FOBJ_Event_Cargobox](701470)中寻找糖果，然后交给[%dic:STR_DIC_E_white_couple_d](202549)[collectitem]		202549 对话 -> 701470 货箱取物 -> 202549 领奖	15	15（k15 交付后写入 reward 节点 15）	2	202549	0/1/2	客户端 quest_q51021.html quest_summary 三行、槽位 0/3/6；页链 select4(2034) SETPRO2(0->1) -> s1 QUEST_SELECT/SETPRO2(1->2) -> select5(2375) CHECK_USER_HAS_QUEST_ITEM（成功 DEFAULT_SUCCESS(10002)，失败 CHECK_USER_ITEM_FAIL(10001)）；货箱 can-act ACTION_ITEM_USE 落 START/s1(var0=1)，quest_data 的 retail collecting_step=4 收敛为 1（第二组 3 bit 槽位 3..5 即行 1）；本批删旧击杀计数直跳/npc-item-report 与交付直达 reward，owner 收敛末行 NPC；quest_data.xml quest_drop npc_id=701470 item_id=182215182 collecting_step=4（货箱掉落）；货箱物件 701470、NPC 202549	STATES_BEYOND_ROWS | ROW_AHEAD | visible=0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15	ALIGNED | ROW_ALIGNED | ROW_STATE_ALIGNED | visible=0 1 2 | recovery=True	PENDING_CLIENT
50022	ROW_LADDER_REBUILD	3	消灭[%dic:STR_DIC_M_ValentineEvent_Shulack_Couple]([%2]/3)	和[%dic:STR_DIC_E_white_single](202549)对话	在[%dic:STR_DIC_E_FOBJ_Event_Cargobox](701470)里找到铁锹，然后交给[%dic:STR_DIC_E_white_single](202549)[collectitem]		202549 对话 -> 701470 货箱取物 -> 202549 领奖	0	0（npc-item-report 交付直送 REWARD）	2	202549	0/1/2	客户端 quest_q50022.html quest_summary 三行、槽位 0/3/6；页链 select4(2034) SETPRO2(0->1) -> s1 QUEST_SELECT/SETPRO2(1->2) -> select5(2375) CHECK_USER_HAS_QUEST_ITEM（成功 DEFAULT_SUCCESS(10002)，失败 CHECK_USER_ITEM_FAIL(10001)）；货箱 can-act ACTION_ITEM_USE 落 START/s1(var0=1)，quest_data 的 retail collecting_step=4 收敛为 1（第二组 3 bit 槽位 3..5 即行 1）；本批删旧击杀计数直跳/npc-item-report 与交付直达 reward，owner 收敛末行 NPC；quest_data.xml quest_drop npc_id=701470 item_id=182215177 collecting_step=4（货箱掉落）；货箱物件 701470、NPC 202549	MISSING_TAIL_ROWS | ROW_BEHIND | ROW_WITHOUT_STATE(1 2) | visible=0	ALIGNED | ROW_ALIGNED | ROW_STATE_ALIGNED | visible=0 1 2 | recovery=True	PENDING_CLIENT
51022	ROW_LADDER_REBUILD	3	消灭[%dic:STR_DIC_M_ValentineEvent_Shulack_Couple]([%2]/3)	和[%dic:STR_DIC_E_white_single_d](202549)对话	在[%dic:STR_DIC_E_FOBJ_Event_Cargobox](701470)里找到铁锹，然后交给[%dic:STR_DIC_E_white_single_d](202549)[collectitem]		202549 对话 -> 701470 货箱取物 -> 202549 领奖	1	1（npc-item-report 直送 REWARD(1)）	2	202549	0/1/2	客户端 quest_q51022.html quest_summary 三行、槽位 0/3/6；页链 select4(2034) SETPRO2(0->1) -> s1 QUEST_SELECT/SETPRO2(1->2) -> select5(2375) CHECK_USER_HAS_QUEST_ITEM（成功 DEFAULT_SUCCESS(10002)，失败 CHECK_USER_ITEM_FAIL(10001)）；货箱 can-act ACTION_ITEM_USE 落 START/s1(var0=1)，quest_data 的 retail collecting_step=4 收敛为 1（第二组 3 bit 槽位 3..5 即行 1）；本批删旧击杀计数直跳/npc-item-report 与交付直达 reward，owner 收敛末行 NPC；quest_data.xml quest_drop npc_id=701470 item_id=182215183 collecting_step=4（货箱掉落）；货箱物件 701470、NPC 202549	MISSING_LAST_ROW | ROW_BEHIND | ROW_WITHOUT_STATE(2) | visible=0 1	ALIGNED | ROW_ALIGNED | ROW_STATE_ALIGNED | visible=0 1 2 | recovery=True	PENDING_CLIENT
80302	ROW_LADDER_REBUILD	3	消灭[%dic:STR_DIC_M_ValentineEvent_Brownie_Solo]([%2]/3)	和[%dic:STR_DIC_E_white_couple](799763)对话	从[%dic:STR_DIC_E_FOBJ_Event_Cargobox](701774)中找到糖果，交给[%dic:STR_DIC_E_white_couple](799763)[collectitem]		799763 对话 -> 701774 货箱取物 -> 799763 领奖	0	0（npc-item-report 交付直送 REWARD）	2	799763	0/1/2	客户端 quest_q80302.html quest_summary 三行、槽位 0/3/6；页链 select4(2034) SETPRO2(0->1) -> s1 QUEST_SELECT/SETPRO2(1->2) -> select5(2375) CHECK_USER_HAS_QUEST_ITEM（成功 DEFAULT_SUCCESS(10002)，失败 CHECK_USER_ITEM_FAIL(10001)）；货箱 can-act ACTION_ITEM_USE 落 START/s1(var0=1)，quest_data 的 retail collecting_step=4 收敛为 1（第二组 3 bit 槽位 3..5 即行 1）；本批删旧击杀计数直跳/npc-item-report 与交付直达 reward，owner 收敛末行 NPC；quest_data.xml quest_drop npc_id=701774 item_id=182215292 collecting_step=4（货箱掉落）；货箱物件 701774、NPC 799763	MISSING_TAIL_ROWS | ROW_BEHIND | ROW_WITHOUT_STATE(1 2) | visible=0	ALIGNED | ROW_ALIGNED | ROW_STATE_ALIGNED | visible=0 1 2 | recovery=True	PENDING_CLIENT
