action_id,action_constant,action_mapping,occurrences,distinct_quests,distinct_source_files,distinct_pages,button_text_samples_zh
1007,HACTION_ASK_QUEST_ACCEPT,exact,3561,3528,3538,7,点头。 | 说出名字。 | 询问发生了什么事。 | 询问是什么事情。 | 询问是什么问题。
20004,HACTION_CHECK_AP,exact,3,3,3,1,回收AP。
20005,HACTION_CHECK_GOLD,exact,2,2,2,1,返还基纳。
39,HACTION_CHECK_USER_HAS_QUEST_ITEM,exact,2430,2235,2235,17,交出自由之箭派遣队员的痕迹。 | 拿出特伦克的心脏。 | 拿出纽特的消化腺。 | 拿出龙族装备，讲述事情经过。 | 交出特伦克的心脏。
20002,HACTION_CHECK_USER_HAS_QUEST_ITEM_SIMPLE,exact,786,786,786,5,拿出带来的药材。 | 拿出龙族的命令书。 | 拿出剧毒粉末。 | 拿出材料。 | 拿出巨人记录板。
1008,HACTION_FINISH_DIALOG,exact,11122,5142,5152,69,结束对话。 | 停止查看。 | 结束观察。 | 稍等一下。 | 递过证物。
1002,HACTION_QUEST_ACCEPT_1,exact,3687,3673,3683,5,接受。 | 点头。 | 说需要米拉詹特圣骑士鞋子。 | 说需要米拉詹特圣骑士武器。 | 说需要米拉詹特圣骑士手套。
20000,HACTION_QUEST_ACCEPT_SIMPLE,exact,4011,3987,3987,8,接受。 | 수락한다. | 说知道了。 | 明白了。 | 说愿意去帮他。
1003,HACTION_QUEST_REFUSE_1,exact,3656,3646,3656,4,拒绝。 | 拒绝 | 摇头。 | 询问原因。 | 摇头
20001,HACTION_QUEST_REFUSE_SIMPLE,exact,4011,3987,3987,8,拒绝。 | 거절한다. | 不要。 | 对不起。 | 说很忙。
1011,HACTION_SELECT1,exact,412,188,188,14,重新考虑一下。 | 拿出下级古代圣像。 | 拿出下级古代印章。 | 拿出下级古代圣杯。 | 拿出下级古代王冠。
4081,HACTION_SELECT10_1,exact,41,38,38,4,转达从罗特亚斯那里听到的话。 | 报告实验结果。 | 报告结果。 | 说是来把鸢族俘虏押走的。 | 询问有关战斗的痕迹的情况。
4082,HACTION_SELECT10_1_1,exact,8,8,8,1,敷衍点头。 | 摇晃德扎波波的身体。 | 询问需要做什么事。 | “被隐藏的真相？” | 摇晃卫扎波波的身体。
4083,HACTION_SELECT10_1_1_1,exact,3,3,3,1,点头。 | “是的，我不畏惧。” | 没什么可畏惧的。
4166,HACTION_SELECT10_2,exact,6,4,4,4,继续查看记录。 | 让我再考虑一下。 | “我要成为护法星。”
