html_page_name,page_id,page_constant,page_mapping,action_id,action_constant,action_mapping,occurrences,distinct_quests,button_text_samples_zh
SELECT2_1_1_1,1355,HTML_PAGE_SELECT2_1_1_1,exact,1693,HACTION_SELECT3,exact,3,3,我会铭记于心的。
SELECT2_1_1_2,1360,HTML_PAGE_SELECT2_1_1_2,exact,2034,HACTION_SELECT4,exact,3,3,我会铭记于心的。
SELECT2_1_2,1375,HTML_PAGE_SELECT2_1_2,exact,1376,HACTION_SELECT2_1_2_1,exact,3,3,从准确的数字中体现的真理。 | 美丽的数字之类的就是真理。
SELECT2_1_2,1375,HTML_PAGE_SELECT2_1_2,exact,1381,HACTION_SELECT2_1_2_2,exact,3,3,浩瀚宇宙的准则就是真理。 | 未知的宇宙的准则就是真理。
SELECT2_1_2_1,1376,HTML_PAGE_SELECT2_1_2_1,exact,1693,HACTION_SELECT3,exact,3,3,我会铭记于心的。
SELECT2_1_2_2,1381,HTML_PAGE_SELECT2_1_2_2,exact,2034,HACTION_SELECT4,exact,3,3,我会铭记于心的。
SELECT2_2_1,1439,HTML_PAGE_SELECT2_2_1,exact,1440,HACTION_SELECT2_2_1_1,exact,3,3,爱情应该是理性的。
SELECT2_2_1,1439,HTML_PAGE_SELECT2_2_1,exact,1445,HACTION_SELECT2_2_1_2,exact,3,3,爱情应该是感性的。
SELECT2_2_1_1,1440,HTML_PAGE_SELECT2_2_1_1,exact,2375,HACTION_SELECT5,exact,3,3,我会铭记于心的。
SELECT2_2_1_2,1445,HTML_PAGE_SELECT2_2_1_2,exact,2716,HACTION_SELECT6,exact,3,3,我会铭记于心的。
SELECT2_2_2_1,1461,HTML_PAGE_SELECT2_2_2_1,exact,2375,HACTION_SELECT5,exact,3,3,我会铭记于心的。
SELECT2_2_2_2,1466,HTML_PAGE_SELECT2_2_2_2,exact,2716,HACTION_SELECT6,exact,3,3,我会铭记于心的。
SELECT3,1693,HTML_PAGE_SELECT3,exact,1694,HACTION_SELECT3_1,exact,3,3,黑。 | 我喜欢黑色。
SELECT3,1693,HTML_PAGE_SELECT3,exact,1779,HACTION_SELECT3_2,exact,3,3,白。 | 我喜欢白色。
SELECT3_1,1694,HTML_PAGE_SELECT3_1,exact,,HACTION_SELECT_QUEST_REWARD1,missing,3,3,是什么样的启示呢？ | 是什么样的能力呢？
SELECT3_2,1779,HTML_PAGE_SELECT3_2,exact,,HACTION_SELECT_QUEST_REWARD2,missing,3,3,是什么样的启示呢？ | 是什么样的能力呢？
SELECT4,2034,HTML_PAGE_SELECT4,exact,2035,HACTION_SELECT4_1,exact,3,3,我喜欢天。
SELECT4,2034,HTML_PAGE_SELECT4,exact,2120,HACTION_SELECT4_2,exact,3,3,我喜欢地。
SELECT4_1,2035,HTML_PAGE_SELECT4_1,exact,,HACTION_SELECT_QUEST_REWARD3,missing,3,3,是什么样的启示呢？ | 是什么样的能力呢？
SELECT4_2,2120,HTML_PAGE_SELECT4_2,exact,,HACTION_SELECT_QUEST_REWARD4,missing,3,3,是什么样的启示呢？ | 是什么样的能力呢？
SELECT5,2375,HTML_PAGE_SELECT5,exact,2376,HACTION_SELECT5_1,exact,3,3,我觉得开始重要。
