quest_id	class	row_status	client_rows	missing_actions	missing_action_pages	shown_but_unrouted	page_never_shown	shape	row_state_verdict	visible_state_var0	rows_without_state	reward_var0	xml_states	xml_fields	last_commit	reason
1000	噪声_无对话页路由	行状态未收口	4	SELECT1_1 SELECT2_1 SETPRO1	SELECT1_1->SELECT1 SELECT2_1->SELECT2 SETPRO1->SELECT2_1		SELECT1_1 SELECT2_1 SETPRO1	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	1 2 3	None	started:START@0		0ab7e4db8 2026-08-12 feat(quest): complete compact XML migration	XML 未引用任何 SHOW_QUEST_PAGE（过场/自动任务）
1111	仍缺_客户端页面从未下发	行状态已收口	2	SETPRO3	SETPRO3->SELECT7		SETPRO3	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1 2 3		None	started:START@0 v1:START@1 reward2:REWARD@2 reward3:REWARD@3		d46c99c0d 2026-09-18 fix(quest): align multi-tier reward groups with retail contract for 1111/1535/2392 (P5-1)	1 个动作所在页面 XML 从未下发（错页/跳页）：SETPRO3
1183	仍缺_客户端页面从未下发	行状态未收口	3	SELECT3_1 SETPRO2	SELECT3_1->SELECT3 SETPRO2->SELECT3_1		SELECT3_1 SETPRO2	MISSING_TAIL_ROWS	ROW_WITHOUT_STATE	0	1 2	0	started:START@0 reward:REWARD@0		de7c36d9d 2026-09-14 fix(quest): restore lost work-items declarations across the production catalog	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SETPRO2
1319	仍缺_客户端页面从未下发	行状态已收口	9	SELECT3_1 SELECT4_1 SELECT5_1 SELECT6_1 SELECT7_1 SELECT8_1 SELECT9_1 SETPRO2 SETPRO3 SETPRO4 SETPRO5 SETPRO6 SETPRO7 SETPRO8	SELECT3_1->SELECT3 SELECT4_1->SELECT4 SELECT5_1->SELECT5 SELECT6_1->SELECT6 SELECT7_1->SELECT7 SELECT8_1->SELECT8 SELECT9_1->SELECT9 SETPRO2->SELECT3_1 SETPRO3->SELECT4_1 SETPRO4->SELECT5_1 SETPRO5->SELECT6_1 SETPRO6->SELECT7_1 SETPRO7->SELECT8_1 SETPRO8->SELECT9_1		SELECT3_1 SELECT4_1 SELECT5_1 SELECT6_1 SELECT7_1 SELECT8_1 SELECT9_1 SETPRO2 SETPRO3 SETPRO4 SETPRO5 SETPRO6 SETPRO7 SETPRO8	ALIGNED	ROW_STATE_ALIGNED	0 1 2 3 4 5 6 7 8		8	started:START@0 stage1:START@1 stage2:START@2 stage3:START@3 stage4:START@4 stage5:START@5 stage6:START@6 stage7:START@7 reward:REWARD@8	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	14 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SELECT4_1 SELECT5_1 SELECT6_1 SELECT7_1 SELECT8_1 SELECT9_1 SETPRO2 SETPRO3 SETPRO4 SETPRO5 SETPRO6 SETPRO7 SETPRO8
1322	仍缺_客户端页面从未下发	行状态已收口	2	SELECT5_1	SELECT5_1->SELECT5		SELECT5_1	ALIGNED	ROW_STATE_ALIGNED	0 1		1	started:START@0 reward:REWARD@1	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	1 个动作所在页面 XML 从未下发（错页/跳页）：SELECT5_1
1354	仍缺_客户端页面从未下发	行状态已收口	3	SETPRO2	SETPRO2->SELECT6		SETPRO2	STATES_BEYOND_ROWS	STATE_OUT_OF_RANGE	0 1 2 3 4 5 6 7 8		8	started:START@0 t:START@1 r2:START@2 r3:START@3 r4:START@4 r5:START@5 r6:START@6 r7:START@7 r8:START@8 reward:REWARD@8		8b7ed8245 2026-09-11 fix(quest): close client-owned dialog failure paths	1 个动作所在页面 XML 从未下发（错页/跳页）：SETPRO2
1371	仍缺_客户端页面从未下发	行状态未收口	3	SELECT3_1	SELECT3_1->SELECT3		SELECT3_1	INTERIOR_GAP	ROW_WITHOUT_STATE	0 2	1	2	started:START@0 flowers-delivered:START@2 reward:REWARD@2		de7c36d9d 2026-09-14 fix(quest): restore lost work-items declarations across the production catalog	1 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1
1394	仍缺_客户端页面从未下发	行状态已收口	3	SELECT3_1 SETPRO2	SELECT3_1->SELECT3 SETPRO2->SELECT3_1		SELECT3_1 SETPRO2	ALIGNED	ROW_STATE_ALIGNED	0 1 2		2	started:START@0 v1:START@1 v2:START@2 reward:REWARD@2		ee0363c10 2026-09-11 fix(quest): align client dialog contracts	2 个动作所在页面 XML 从未下发（错页/跳页）：SELECT3_1 SETPRO2
1414	仍缺_客户端页面从未下发	行状态已收口	2	SETPRO1	SETPRO1->SELECT2		SETPRO1	ALIGNED	ROW_STATE_ALIGNED	0 1		1	started:START@0 reward:REWARD@1		7268098e8 2026-09-12 fix(quest): close client dialog contract audit failures	1 个动作所在页面 XML 从未下发（错页/跳页）：SETPRO1
1430	仍缺_页面已下发但无路由	行状态已收口	2	SETPRO1	SETPRO1->SELECT1_1_1	SETPRO1		ALIGNED	ROW_STATE_ALIGNED	0 1		1	started:START@0 reward:REWARD@1	var0	7a7d27809 2026-09-21 fix(quest): 领奖行全库审计批次 1-7：375 个任务行状态与领奖投影收口	1 个动作所在页面已由 XML 下发但动作无路由：SETPRO1
