quest_id	client_rows	reward_var0	last_start_node	last_start_var0	recovery	client_file	client_section0	last_row_text	mirror_id	mirror_shape	mirror_reward_var0	mirror_last_row_text	mirror_is_single_side
1005	10	8	None	None	False	QUEST_Q1005.html		和[%dic:STR_DIC_LA139]对话					NO
1123	2	0	started	0	False	QUEST_Q1123.html		任务完成！和[%dic:STR_DIC_LA12]%对话。					NO
1149	3	1	started	0	False	QUEST_Q1149.html		和[%dic:STR_DIC_LA159]对话					NO
1479	3	1	started	0	False	QUEST_Q1479.html		和[%dic:STR_DIC_N_Memnes]对话					NO
1876	3	1	s1	1	False	quest_q1876.html		向[%dic:STR_DIC_N_Taranis]报告					NO
1920	3	1	started1	1	False	QUEST_Q1920.html		和[%dic:STR_DIC_N_Jucleas]对话					NO
1926	2	0	started	0	True	QUEST_Q1926.html		和[%dic:STR_DIC_N_Latri]对话					NO
2006	3	1	started	0	False	QUEST_Q2006.html		和[%dic:STR_DIC_LA494]%对话。					NO
2007	10	8	started	0	False	QUEST_Q2007.html		和[%dic:STR_DIC_LA494]对话					NO
2484	2	0	started	0	False	QUEST_Q2484.html		和[%dic:STR_DIC_N_Hippolyta]对话。					NO
2600	3	0	s1	1	False	QUEST_Q2600.html		重新和[%dic:STR_DIC_N_Shugo_DF3_12]对话					NO
2633	4	2	s2	2	False	QUEST_Q2633.html		向德拉乌伯尼尔洞穴入口附近的[%dic:STR_DIC_N_DF3_Alberihi_E]报告					NO
2842	2	0	None	None	False	QUEST_Q2842.html		和[%dic:STR_DIC_N_Herz]%对话					NO
2876	3	1	s1	1	False	quest_q2876.html		向[%dic:STR_DIC_N_Votan]报告					NO
2938	2	0	started	0	True	QUEST_Q2938.html		和[%dic:STR_DIC_N_Izwin]对话					NO
2945	3	1	started1	1	False	QUEST_Q2945.html		和[%dic:STR_DIC_N_Balder]对话					NO
3732	3	1	started	0	False	quest_q3732.html		向[%dic:STR_DIC_N_LF2_Brando]报告					NO
3933	8	6	s6	6	False	QUEST_Q3933.html		向[%dic:STR_DIC_LA80]报告					NO
3934	10	8	s8	8	False	QUEST_Q3934.html		向[%dic:STR_DIC_LA80]报告					NO
3935	6	4	s4	4	False	QUEST_Q3935.html		和[%dic:STR_DIC_N_Lavirintos]对话					NO
3939	5	3	s3	3	False	QUEST_Q3939.html		和[%dic:STR_DIC_N_Lavirintos]对话					NO
4712	2	0	started	0	False	QUEST_Q4712.html		向[%dic:STR_DIC_N_Henir]报告					NO
10100	6	4	s4	4	False	quest_q10100.html		重新和[%dic:STR_DIC_N_LDF4_Advance_L_Kahrun]%对话	20100	MISSING_LAST_ROW	4	重新和[%dic:STR_DIC_N_LDF4_Advance_D_Kahrun]%对话	NO
