========================================
= 任务ID数据，由灰色枫叶GM工具自动生成 =
========================================
任务ID:85 名字:被选择者的象征      STR值：STR_QUEST_NAME_Q9510
任务ID:1000 名字:序幕      STR值：STR_QUEST_NAME_Q1000
任务ID:1001 名字:凯鲁宾的威胁      STR值：STR_QUEST_NAME_Q1001
任务ID:1002 名字:椰林族的邀请      STR值：STR_QUEST_NAME_Q1002
任务ID:1003 名字:侦察卡巴拉露天矿山      STR值：STR_QUEST_NAME_Q1003
任务ID:1004 名字:阻止提炼奥德石      STR值：STR_QUEST_NAME_Q1004
任务ID:1005 名字:破坏欧比斯通道      STR值：STR_QUEST_NAME_Q1005
任务ID:1006 名字:重生为守护者      STR值：STR_QUEST_NAME_Q1006
任务ID:1007 名字:守护者的意志      STR值：STR_QUEST_NAME_Q1007
任务ID:1008 名字:临时      STR值：STR_QUEST_NAME_Q1008
任务ID:1009 名字:临时      STR值：STR_QUEST_NAME_Q1009
任务ID:1010 名字:临时      STR值：STR_QUEST_NAME_Q1010
任务ID:1011 名字:净化贝尔特伦要塞的上空      STR值：STR_QUEST_NAME_Q1011
任务ID:1012 名字:侦察要塞周边      STR值：STR_QUEST_NAME_Q1012
任务ID:1013 名字:消灭雷帕尔革命团      STR值：STR_QUEST_NAME_Q1013
任务ID:1014 名字:杜卡基部落的奥德石      STR值：STR_QUEST_NAME_Q1014
任务ID:1015 名字:狩猎龙蜥兽      STR值：STR_QUEST_NAME_Q1015
任务ID:1016 名字:污染的原因      STR值：STR_QUEST_NAME_Q1016
任务ID:1017 名字:重新找回祝福的礼物      STR值：STR_QUEST_NAME_Q1017
任务ID:1018 名字:报仇的信物      STR值：STR_QUEST_NAME_Q1018
任务ID:1019 名字:牵制图尔辛克拉尔      STR值：STR_QUEST_NAME_Q1019
任务ID:1020 名字:阻止龙族的阴谋      STR值：STR_QUEST_NAME_Q1020
任务ID:1021 名字:狩猎龙蜥兽的幕后主使      STR值：STR_QUEST_NAME_Q1021
任务ID:1022 名字:威胁圣所的克拉尔      STR值：STR_QUEST_NAME_Q1022
任务ID:1023 名字:粉碎雷帕尔革命团的阴谋      STR值：STR_QUEST_NAME_Q1023
任务ID:1024 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1025 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1026 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1031 名字:曼杜里的秘密      STR值：STR_QUEST_NAME_Q1031
任务ID:1032 名字:森林真正的主人      STR值：STR_QUEST_NAME_Q1032
任务ID:1033 名字:沙塔罗卡的心脏      STR值：STR_QUEST_NAME_Q1033
任务ID:1034 名字:消失的实体      STR值：STR_QUEST_NAME_Q1034
任务ID:1035 名字:恢复神秘      STR值：STR_QUEST_NAME_Q1035
任务ID:1036 名字:凯丹的监狱      STR值：STR_QUEST_NAME_Q1036
任务ID:1037 名字:地下神殿的秘密      STR值：STR_QUEST_NAME_Q1037
任务ID:1038 名字:实体守护者的忠告      STR值：STR_QUEST_NAME_Q1038
任务ID:1039 名字:阿盖伦村的水源      STR值：STR_QUEST_NAME_Q1039
任务ID:1040 名字:守护埃尔特内结界塔      STR值：STR_QUEST_NAME_Q1040
任务ID:1041 名字:破坏革命团建设基地      STR值：STR_QUEST_NAME_Q1041
任务ID:1042 名字:攻击凯丹的大本营      STR值：STR_QUEST_NAME_Q1042
任务ID:1043 名字:粉碎龙族的阴谋      STR值：STR_QUEST_NAME_Q1043
任务ID:1044 名字:最后的考试      STR值：STR_QUEST_NAME_Q1044
任务ID:1045 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1046 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1047 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1051 名字:调查苏贝尔斯遗址      STR值：STR_QUEST_NAME_Q1051
任务ID:1052 名字:奥格林特和洛特伦的根      STR值：STR_QUEST_NAME_Q1052
任务ID:1053 名字:不断繁殖的纽特      STR值：STR_QUEST_NAME_Q1053
任务ID:1054 名字:椰林的力量      STR值：STR_QUEST_NAME_Q1054
任务ID:1055 名字:永远的安息      STR值：STR_QUEST_NAME_Q1055
任务ID:1056 名字:研究革命团的毒      STR值：STR_QUEST_NAME_Q1056
任务ID:1057 名字:合成生命体      STR值：STR_QUEST_NAME_Q1057
任务ID:1058 名字:暴走克拉尔      STR值：STR_QUEST_NAME_Q1058
任务ID:1059 名字:暴风的执政官      STR值：STR_QUEST_NAME_Q1059
任务ID:1060 名字:消灭拉斯贝尔格      STR值：STR_QUEST_NAME_Q1060
任务ID:1061 名字:[组队]FINAL      STR值：STR_QUEST_NAME_Q1061
任务ID:1062 名字:和英德拉图军团血战      STR值：STR_QUEST_NAME_Q1062
任务ID:1063 名字:军团长英德拉图      STR值：STR_QUEST_NAME_Q1063
任务ID:1064 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1065 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1066 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1067 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1068 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1069 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1070 名字:临时      STR值：STR_QUEST_NAME_Q0001
任务ID:1071 名字:熟悉龙族语      STR值：STR_QUEST_NAME_Q1071
