quest_id	status	client_rows	client_row0	client_row1	row_npc_key	row_npc_id	reward_var0_before	reward_var0_after	evidence	audit_before	audit_after	client_acceptance
1926	FIXED	2	去找 Lavirintos 获取推荐信	和 Latri 对话	Latri	203894	0	1	客户端行 1 = STR_DIC_N_Latri，客户端 NPC 表 203894=Latri；legacy `_1926Secret_Library_Access`（7e9f0316c^）在 203894 talk 处 giveQuestItem(182206022)+setStatus(REWARD)，REWARD 态在 203894 开 10002 -> 5；npc-complete owner=203894	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE/visible=0	ROW_ALIGNED/ALIGNED/ROW_STATE_ALIGNED/visible=0 1	PENDING_CLIENT
2938	FIXED	2	去找 Sueron 获取推荐信	和 Izwin 对话	Izwin	204267	0	1	客户端行 1 = STR_DIC_N_Izwin，客户端 NPC 表 204267=Izwin；legacy `_2938Secret_Library_Access` 同 1926 结构（204267 talk 处 setStatus(REWARD)，REWARD 态开 10002 -> 5）；npc-complete owner=204267	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE/visible=0	ROW_ALIGNED/ALIGNED/ROW_STATE_ALIGNED/visible=0 1	PENDING_CLIENT
39003	FIXED	2	和 DF2a_Ionia_E_LHW(800512) 对话	和 DF2a_Nevma_G_LHM(800504) 对话	DF2a_Nevma_G_LHM	800504	0	1	客户端行 0 = STR_DIC_DF2a_Ionia_E_LHW、行 1 = STR_DIC_NPC_DF2a_Nevma_G_LHM，客户端 NPC 表 800504=DF2a_Nevma_G_LHM、800512=DF2a_Ionia_E_LHW；定义 NPC_START=800500、NPC_REPORT=800504(page SELECT5)、npc-complete owner=800504	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE/visible=0/recovery=False	ROW_ALIGNED/ALIGNED/ROW_STATE_ALIGNED/visible=0 1/recovery=True	PENDING_CLIENT
49003	FIXED	2	和 Noorn(800511) 对话	和 dromik(800505) 对话	dromik	800505	0	1	客户端行 0 = STR_DIC_N_Noorn(800511=LF2a_Noorn_E_DHM)、行 1 = STR_DIC_N_dromik(800505=LF2a_dromik_G_DHM，客户端表名带前缀故 last_row_npc_matches_quest=False，非缺陷)；定义 NPC_REPORT=800505(page SELECT5)、npc-complete owner=800505	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE/visible=0/recovery=False	ROW_ALIGNED/ALIGNED/ROW_STATE_ALIGNED/visible=0 1/recovery=True	PENDING_CLIENT
80989	FIXED	2	通过进入战场进入 IDRun，去见在出口等着你的咕咕咻	回到大城市，再次和咕咕咻对话	IDRUN_Entrance_guide	836196	0	1	客户端行 1 与行 0 是同一 NPC 的再次对话（行内无 dic 占位，字面“咕咕咻”）；客户端 NPC 表 836196=IDRUN_Entrance_guide；定义 SET_SUCCEED/DEFAULT_SUCCESS 与 npc-complete 都在 836196	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE/visible=0/recovery=False	ROW_ALIGNED/ALIGNED/ROW_STATE_ALIGNED/visible=0 1/recovery=True	PENDING_CLIENT
80990	FIXED	2	通过进入战场进入 IDRun，去见在出口等着你的咕咕咻	回到大城市，再次和咕咕咻对话	IDRUN_Entrance_guide	836196	0	1	同 80989（另一阵营事件变体）：客户端两行文本一致，定义 NPC/领奖 owner 同为 836196	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE/visible=0/recovery=False	ROW_ALIGNED/ALIGNED/ROW_STATE_ALIGNED/visible=0 1/recovery=True	PENDING_CLIENT
13965	QE045_LOCKED_DEFERRED	2	前往 IDEternity_War_Center	与 LF6_Benian_E(835217) 对话	LF6_Benian_E	835217	0	0	enter-zone IDETERNITY_WAR_Q13965 置 REWARD（legacy `_13965A_Fragment_Fallen_At_The_Temple` 只 setStatus、不写 var0）；客户端行 1 = 领奖 NPC。改动会推翻 f6aff952a 基线与 LegacyRewardStepProjectionRegressionTest 20 例，按 QE-045 boundary 需客户端证据才能重定基线	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE（未改）	PENDING_CLIENT_OBSERVATION
23965	QE045_LOCKED_DEFERRED	2	前往 IDEternity_War_Center	与 DF6_Ottar_E(835220) 对话	DF6_Ottar_E	835220	0	0	同 13965 结构（legacy `_23965A_Fragment_That_Appeared_At_The_Temple` 只 setStatus）	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE（未改）	PENDING_CLIENT_OBSERVATION
15674	QE045_LOCKED_DEFERRED	2	收集/交付 guardian transport 物资	与 LF6_Ilisia_E(806114) 对话	LF6_Ilisia_E	806114	0	0	806114 的 CHECK_COLLECTED_ITEMS 置 REWARD（legacy `_15674Light_Armored_Guardian_Transport_Support`）；同 QE-045 锁	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE（未改）	PENDING_CLIENT_OBSERVATION
25674	QE045_LOCKED_DEFERRED	2	收集/交付 archon carrier 物资	与 DF6_Reinhard_E(806116) 对话	DF6_Reinhard_E	806116	0	0	806116 的 CHECK_COLLECTED_ITEMS 置 REWARD（legacy `_25674Light_Armored_Archon_Carrier_Support`）；同 QE-045 锁	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE	ROW_BEHIND/MISSING_LAST_ROW/ROW_WITHOUT_STATE（未改）	PENDING_CLIENT_OBSERVATION
